"V1","model","truth"
2.64063455942516,"GCMSH","covariate"
2.87367591890662,"GCMSH","covariate"
2.50348865198632,"GCMSH","covariate"
2.64174860142093,"GCMSH","covariate"
2.63410083188053,"GCMSH","covariate"
1.84716147155025,"GCMCO","covariate"
1.60601844663332,"GCMCO","covariate"
1.68724201421629,"GCMCO","covariate"
1.47108638779309,"GCMCO","covariate"
1.94033563854237,"GCMCO","covariate"
0.541930901541102,"SOM","covariate"
0.802251457758605,"SOM","covariate"
0.417804945701948,"SOM","covariate"
0.82946528633696,"SOM","covariate"
0.475431010819587,"SOM","covariate"
0.554684602344581,"IDMSH","covariate"
0.698911697325937,"IDMSH","covariate"
0.437120489590825,"IDMSH","covariate"
0.705612793207648,"IDMSH","covariate"
0.484739924650117,"IDMSH","covariate"
0.538683609910444,"IDMCO","covariate"
0.848274943074487,"IDMCO","covariate"
0.407503766594658,"IDMCO","covariate"
0.886782972535109,"IDMCO","covariate"
0.469942803170947,"IDMCO","covariate"
2.50246605158466,"GCMSH","shared"
2.59747504545999,"GCMSH","shared"
2.57194092822302,"GCMSH","shared"
1.84598807597632,"GCMSH","shared"
2.17113968565863,"GCMSH","shared"
1.77648636859418,"GCMCO","shared"
1.766864217007,"GCMCO","shared"
1.81330349275434,"GCMCO","shared"
1.63214184527941,"GCMCO","shared"
1.69101890849739,"GCMCO","shared"
0.557675239095653,"SOM","shared"
0.420340397329938,"SOM","shared"
0.767274357820105,"SOM","shared"
0.457829825820496,"SOM","shared"
0.477815686239859,"SOM","shared"
0.348856707210374,"IDMSH","shared"
0.3878886412986,"IDMSH","shared"
0.328755292370644,"IDMSH","shared"
0.37847249500562,"IDMSH","shared"
0.747577529187926,"IDMSH","shared"
0.557954884476784,"IDMCO","shared"
0.401973209275319,"IDMCO","shared"
0.783260643032636,"IDMCO","shared"
0.426991161526195,"IDMCO","shared"
0.390335037403645,"IDMCO","shared"
