"V1","model","truth"
2.76043772928389,"GCMSH","covariate"
2.34300495638094,"GCMSH","covariate"
3.36455618041192,"GCMSH","covariate"
2.73975266888002,"GCMSH","covariate"
3.01993646003427,"GCMSH","covariate"
1.82613689480531,"GCMCO","covariate"
1.59401434176486,"GCMCO","covariate"
1.91759512471236,"GCMCO","covariate"
2.04582443196884,"GCMCO","covariate"
1.81656436473963,"GCMCO","covariate"
0.645951155077232,"SOM","covariate"
0.619430866426895,"SOM","covariate"
0.638225581753739,"SOM","covariate"
0.498329795028935,"SOM","covariate"
0.620719094592249,"SOM","covariate"
0.669708289427088,"IDMSH","covariate"
0.539842780267088,"IDMSH","covariate"
0.660147445046984,"IDMSH","covariate"
0.469114055894443,"IDMSH","covariate"
0.542552252293239,"IDMSH","covariate"
0.614399945857609,"IDMCO","covariate"
0.659603389061754,"IDMCO","covariate"
0.648248538741536,"IDMCO","covariate"
0.500374655039892,"IDMCO","covariate"
0.692122314935353,"IDMCO","covariate"
1.91275390975388,"GCMSH","shared"
2.05175521389458,"GCMSH","shared"
1.91747688861085,"GCMSH","shared"
1.91781028013729,"GCMSH","shared"
2.33733772040778,"GCMSH","shared"
1.76870283910306,"GCMCO","shared"
1.72970202451259,"GCMCO","shared"
1.89489541864076,"GCMCO","shared"
1.67993116612971,"GCMCO","shared"
1.68598066689522,"GCMCO","shared"
0.472168687963985,"SOM","shared"
0.479685048849868,"SOM","shared"
0.671435261242201,"SOM","shared"
0.678950805905237,"SOM","shared"
0.741358422470345,"SOM","shared"
0.347915008719731,"IDMSH","shared"
0.428890329203567,"IDMSH","shared"
0.447490690275183,"IDMSH","shared"
0.470135585201821,"IDMSH","shared"
0.820043536030242,"IDMSH","shared"
0.462264886750379,"IDMCO","shared"
0.494451251358258,"IDMCO","shared"
0.652678569289556,"IDMCO","shared"
0.50503845718339,"IDMCO","shared"
0.674654063412225,"IDMCO","shared"
