"V1","model","truth"
2.54562328228112,"GCMSH","covariate"
2.73259131749271,"GCMSH","covariate"
2.88556457769332,"GCMSH","covariate"
2.73497253842585,"GCMSH","covariate"
2.67878115485689,"GCMSH","covariate"
1.60946241578205,"GCMCO","covariate"
2.07556270311086,"GCMCO","covariate"
2.14058308360697,"GCMCO","covariate"
1.95271928312936,"GCMCO","covariate"
1.70174672938765,"GCMCO","covariate"
0.542484106764868,"SOM","covariate"
0.819966890943493,"SOM","covariate"
0.543535724749554,"SOM","covariate"
0.669709040937254,"SOM","covariate"
0.531185676771605,"SOM","covariate"
0.560566367569943,"IDMSH","covariate"
0.687112731849706,"IDMSH","covariate"
0.48601168957314,"IDMSH","covariate"
0.651021087827601,"IDMSH","covariate"
0.481479707437763,"IDMSH","covariate"
0.505757087600391,"IDMCO","covariate"
0.786366596462563,"IDMCO","covariate"
0.501778719378035,"IDMCO","covariate"
0.675491261816687,"IDMCO","covariate"
0.544694442907612,"IDMCO","covariate"
2.00391733507833,"GCMSH","shared"
2.49400429881332,"GCMSH","shared"
2.18909522940752,"GCMSH","shared"
2.10359778898465,"GCMSH","shared"
2.68616042101676,"GCMSH","shared"
1.80289829516229,"GCMCO","shared"
1.83882126600578,"GCMCO","shared"
1.74956722147717,"GCMCO","shared"
1.83369218562004,"GCMCO","shared"
1.79462607672385,"GCMCO","shared"
0.491529327050888,"SOM","shared"
0.489520463140293,"SOM","shared"
0.495749248200231,"SOM","shared"
0.419159172648853,"SOM","shared"
0.42765240725735,"SOM","shared"
0.524031488687158,"IDMSH","shared"
0.451385282721937,"IDMSH","shared"
0.424239478085186,"IDMSH","shared"
0.33119468493153,"IDMSH","shared"
0.319430730500719,"IDMSH","shared"
0.457100886061143,"IDMCO","shared"
0.574642540671821,"IDMCO","shared"
0.456415881556984,"IDMCO","shared"
0.395546827113035,"IDMCO","shared"
0.387434520758256,"IDMCO","shared"
