"V1","model","truth"
3.05227425158334,"GCMSH","covariate"
2.97726323352762,"GCMSH","covariate"
2.81744666701656,"GCMSH","covariate"
3.31912904723824,"GCMSH","covariate"
2.90011253091276,"GCMSH","covariate"
1.55522783957666,"GCMCO","covariate"
1.73328177414277,"GCMCO","covariate"
2.12653138471412,"GCMCO","covariate"
2.03701084781644,"GCMCO","covariate"
1.8131581021152,"GCMCO","covariate"
0.622570490665718,"SOM","covariate"
0.811511963459637,"SOM","covariate"
0.533624307651494,"SOM","covariate"
0.544861070961815,"SOM","covariate"
0.653136432857184,"SOM","covariate"
0.628969549237906,"IDMSH","covariate"
0.652734585118104,"IDMSH","covariate"
0.488959446393286,"IDMSH","covariate"
0.500185885033378,"IDMSH","covariate"
0.684581584298631,"IDMSH","covariate"
0.638434364823121,"IDMCO","covariate"
0.746329619346825,"IDMCO","covariate"
0.546803417595924,"IDMCO","covariate"
0.519085414947941,"IDMCO","covariate"
0.639802274004467,"IDMCO","covariate"
1.62814233403872,"GCMSH","shared"
2.51442078257909,"GCMSH","shared"
2.61276370266343,"GCMSH","shared"
1.98193848164765,"GCMSH","shared"
2.49554336309222,"GCMSH","shared"
1.84111031513521,"GCMCO","shared"
1.9902346312134,"GCMCO","shared"
2.07460884965805,"GCMCO","shared"
1.80799822807351,"GCMCO","shared"
1.84850734496337,"GCMCO","shared"
0.547499137718564,"SOM","shared"
0.77145490753372,"SOM","shared"
0.776450115847881,"SOM","shared"
0.638610919374501,"SOM","shared"
0.612366657782364,"SOM","shared"
0.379687882296217,"IDMSH","shared"
0.340220066004364,"IDMSH","shared"
0.471216844355852,"IDMSH","shared"
0.49938502714991,"IDMSH","shared"
0.661821145827588,"IDMSH","shared"
0.432342743180543,"IDMCO","shared"
0.508413290330829,"IDMCO","shared"
0.611190374413039,"IDMCO","shared"
0.669567195664437,"IDMCO","shared"
0.576385485385808,"IDMCO","shared"
